App,review_count,avg_polarity,avg_subjectivity,pos_pct,neg_pct,neu_pct
Angry Birds Classic,273,-0.007537394764251821,0.5348862663965559,45.4,53.8,0.7
Angry Birds Rio,39,-0.038924252279907035,0.4715201068772497,38.5,59.0,2.6
Animal Planet GO,21,0.2735714285714286,0.45373677248677247,66.7,14.3,19.0
Animated Photo Editor,35,0.29185714285714287,0.5463650793650794,60.0,11.4,28.6
Anime Avatar Creator: Make Your Own Avatar,28,0.20215771508819977,0.5931982912212505,64.3,32.1,3.6
Anime Manga Coloring Book,24,0.3609907670454546,0.5071180555555556,79.2,12.5,8.3
Anthem Anywhere,65,-0.08797731435231436,0.3850360223821762,29.2,43.1,27.7
Anthem BC Anywhere,31,-0.12323348694316437,0.36789554531490015,25.8,38.7,35.5
"Any.do: To-do list, Calendar, Reminders & Planner",98,0.21603763727971087,0.4500429534831867,75.5,13.3,11.2
Apartment Decorating Ideas,1,0.245,0.2,100.0,0.0,0.0
"Apartment List: Housing, Apt, and Property Rentals",47,0.4664228723404255,0.5809655146534579,89.4,4.3,6.4
"Apartment, Home Rental Search: Realtor.com Rentals",25,-0.003732900432900429,0.48327186147186146,48.0,40.0,12.0
Apartments & Rentals - Zillow,44,0.29299168634395906,0.462912321264594,63.6,4.5,31.8
Apartments.com Rental Search,69,0.07240305487588096,0.4129084844302236,46.4,27.5,26.1
Apex Launcher,60,0.1061327486171236,0.4681670875420875,61.7,26.7,11.7
Apk Installer,27,0.19391694725028058,0.4882034632034632,66.7,22.2,11.1
App vault,21,-0.04353505760732322,0.4761634199134199,38.1,47.6,14.3
AppLock,13,0.016233349983349996,0.4999414474414474,46.2,53.8,0.0
AppLock - Fingerprint,19,0.20993951418951418,0.5643250329105592,84.2,15.8,0.0
Apple Daily 蘋果動新聞,34,0.08276605928566712,0.32993794150656897,38.2,26.5,35.3
Aprender inglés con Wlingua,56,0.3996215213358071,0.5617165532879819,94.6,1.8,3.6
Archos File Manager,31,0.1152958152958153,0.4863489736070381,45.2,25.8,29.0
Arrow.io,95,0.08073817355889723,0.45664369256474513,55.8,29.5,14.7
Asana: organize team projects,43,0.2306454630830486,0.5227672402646754,76.7,11.6,11.6
Ascape VR: 360° Virtual Travel,18,0.1509645061728395,0.5006944444444444,55.6,22.2,22.2
Asphalt 8: Airborne,73,0.004450410725820944,0.5135438903805984,53.4,42.5,4.1
Associated Credit Union Mobile,35,0.3880928287981859,0.5595348639455783,85.7,2.9,11.4
Asteroids 3D live wallpaper,31,0.253524397462264,0.48231736087307936,67.7,12.9,19.4
Atlan3D Navigation: Korea navigator,36,0.2781841981321148,0.39801614858906526,63.9,5.6,30.6
AutoCAD - DWG Viewer & Editor,36,0.11960119548661215,0.48721443101651435,44.4,33.3,22.2
AutoScout24 Switzerland – Find your new car,37,0.4169514157014157,0.5583655083655084,81.1,8.1,10.8
Avakin Life - 3D virtual world,69,0.08085916643028912,0.5053262068732377,75.4,23.2,1.4
Aviary Effects: Classic,37,0.10624119358661768,0.538079149507721,70.3,24.3,5.4
Aviary Stickers: Free Pack,37,0.0658285525785526,0.6725140465140466,62.2,32.4,5.4
Azar,92,0.06840380917580306,0.48170581984440686,41.3,27.2,31.5
Azpen eReader,23,0.24262422360248445,0.5973257418909593,65.2,17.4,17.4
B612 - Beauty & Filter Camera,16,0.08178212791982326,0.5275852272727273,56.2,31.2,12.5
BBC Media Player,24,-0.028519833754208763,0.43761078042328044,50.0,45.8,4.2
BBC News,63,0.0969990437252342,0.38892420043213694,58.7,28.6,12.7
BBC Sport,49,0.16657655269900168,0.4234672895132079,67.3,16.3,16.3
BBM - Free Calls & Messages,35,0.1544232523738662,0.46189045214045216,51.4,22.9,25.7
BBVA Compass Banking,29,0.2055902244649166,0.4824433106575964,58.6,24.1,17.2
BBVA Spain,33,0.515085705540251,0.5946316246884429,81.8,9.1,9.1
BBW Dating & Curvy Singles Chat- LargeFriends,75,0.18276632996632997,0.45742092352092356,60.0,21.3,18.7
BBW Dating & Plus Size Chat,111,0.13124668499668501,0.49101675539175543,62.2,24.3,13.5
BBWCupid - BBW Dating App,39,0.12691173304809666,0.47169284419284424,53.8,23.1,23.1
BELONG Beating Cancer Together,38,0.35058287290195184,0.4141634626338574,73.7,5.3,21.1
BEST CAR SOUNDS,37,0.3076986076986077,0.5282896532896533,67.6,8.1,24.3
BET NOW - Watch Shows,108,0.0510880756974507,0.40812905844155845,36.1,27.8,36.1
BEYBLADE BURST app,36,-0.01392739590656258,0.4690503362378362,44.4,47.2,8.3
BIG Launcher,40,0.18498650308025308,0.41012519511738266,65.0,12.5,22.5
BLK - Swipe. Match. Chat.,40,0.30767763519549235,0.5519399908953481,67.5,10.0,22.5
BZWBK24 mobile,23,0.3268825522303783,0.5547810559006211,60.9,17.4,21.7
BaBe - Baca Berita,15,0.18680555555555553,0.4090277777777778,66.7,6.7,26.7
BaBe Lite - Baca Berita Hemat Kuota,13,0.31442307692307697,0.43333333333333335,61.5,7.7,30.8
BaBe+ - Berita Indonesia,20,0.365625,0.4479166666666667,65.0,10.0,25.0
Babbel – Learn Languages,48,0.3916361531986532,0.4983976758195508,70.8,6.2,22.9
Babbel – Learn Spanish,39,0.3093640734265734,0.5447092028342028,84.6,12.8,2.6
Baby ABC in box! Kids alphabet games for toddlers!,37,0.28577512577512576,0.4947191022191022,78.4,16.2,5.4
Baby Monitor,35,0.2742230725623583,0.49213548752834463,77.1,11.4,11.4
Baby Name Together,37,0.2859856284856285,0.49526973401973406,67.6,16.2,16.2
Baby Panda Care,50,0.17201893939393936,0.5404242424242424,64.0,20.0,16.0
Baby Panda Learns Shapes,37,0.2475370012870013,0.3571943371943372,51.4,5.4,43.2
Baby Panda Musical Genius,37,0.2277602521352521,0.48696199446199445,59.5,10.8,29.7
Baby Panda’s Juice Shop,3,0.10833333333333328,0.4916666666666667,100.0,0.0,0.0
Baby Tiger Care - My Cute Virtual Pet Friend,9,0.19518518518518518,0.36296296296296293,55.6,0.0,44.4
Baby puzzles,34,0.07949984276689925,0.5072541012452412,47.1,41.2,11.8
"Baca- Berita Terbaru, Informasi, Gosip dan Politik",33,0.2440754132231405,0.48291191132100225,63.6,9.1,27.3
Backgrounds (HD Wallpapers),30,0.26443175805675806,0.599070847362514,76.7,20.0,3.3
Backgrounds HD (Wallpapers),30,0.35387590187590184,0.5209487734487734,60.0,10.0,30.0
BaconReader for Reddit,33,0.2280863229009162,0.4700780805894442,72.7,24.2,3.0
Bad Piggies,77,0.007940659648845768,0.5389492408533662,48.1,48.1,3.9
Badoo - Free Chat & Dating App,120,0.1284891774891775,0.41610276875901875,48.3,22.5,29.2
Bagan - Myanmar Keyboard,32,0.29119916907636634,0.4197362012987013,65.6,6.2,28.1
Banco Itaú,40,0.07654520652958152,0.3643950216450217,45.0,22.5,32.5
Banco do Brasil,40,0.22347267316017314,0.47966436688311687,55.0,17.5,27.5
Bancomer móvil,40,-0.07185252074314573,0.3070278550814265,27.5,52.5,20.0
Banfield Pet Health Tracker,80,0.08254051373973248,0.49524039849039847,57.5,35.0,7.5
Bangla Newspaper – Prothom Alo,38,0.1693530701754386,0.4352339181286549,52.6,18.4,28.9
Banjo,39,0.23085021228771227,0.46412157310875257,69.2,15.4,15.4
Bank of America Mobile Banking,32,0.1800268291975881,0.4850038651824366,68.8,18.8,12.5
BankMobile Vibe App,23,0.35345457682414205,0.5646099190664409,82.6,8.7,8.7
Banorte Movil,26,0.116998667998668,0.5673119519369519,65.4,34.6,0.0
Banque Populaire,18,0.032322092452300805,0.32675855780022445,27.8,44.4,27.8
Barbie Life™,19,0.16261297182349813,0.3933479532163743,57.9,10.5,31.6
Barbie Magical Fashion,31,0.08473276471512356,0.5782083847305621,58.1,41.9,0.0
Barbie™ Fashion Closet,77,0.048600288600288595,0.47649350649350647,55.8,32.5,11.7
Barclays US for Android,40,0.017928003998316493,0.41255418771043767,37.5,37.5,25.0
Barcode Scanner,37,0.38627013377013375,0.4835820560820561,83.8,0.0,16.2
Baritastic - Bariatric Tracker,40,0.41827673686267436,0.571031492647564,85.0,2.5,12.5
Baseball Boy!,40,0.012272397197141398,0.4744802114272896,50.0,50.0,0.0
Basketball FRVR - Shoot the Hoop and Slam Dunk!,35,0.1024642857142857,0.4600272108843538,45.7,34.3,20.0
Basketball Stars,89,0.013905112685626995,0.4871262763528012,49.4,46.1,4.5
Bathroom Decorating Ideas,40,0.36267578125,0.5115454545454545,62.5,15.0,22.5
Battlelands Royale,89,0.040406194848324126,0.5142119465462056,59.6,38.2,2.2
Be A Legend: Soccer,98,-0.09925060033337468,0.4743972818025296,33.7,60.2,6.1
BeSoccer - Soccer Live Score,36,0.3567684784351451,0.40465388007054676,69.4,5.6,25.0
BeWild Free Dating & Chat App,38,0.17037221276530484,0.5180704969575584,81.6,15.8,2.6
Beautiful Design Birthday Cake,36,0.2703075396825396,0.519702380952381,58.3,13.9,27.8
Beautiful Widgets Free,40,0.013460700757575748,0.5222924031986531,50.0,42.5,7.5
Beautiful Widgets Pro,37,0.17941837105155556,0.5016910966315729,81.1,13.5,5.4
Beauty Camera - Selfie Camera,36,0.19999366181657846,0.4508201058201058,63.9,22.2,13.9
Beauty Makeup Snappy Collage Photo Editor - Lidow,4,0.1532142857142857,0.4769047619047619,50.0,25.0,25.0
BeautyPlus - Easy Photo Editor & Selfie Camera,4,0.3,0.30000000000000004,50.0,0.0,50.0
Bed Time Fan - White Noise Sleep Sounds,1,0.78125,0.6,100.0,0.0,0.0
Best Car Wallpapers,3,-0.13333333333333328,0.48888888888888893,33.3,33.3,33.3
Best Fiends - Free Puzzle Game,1,0.3249999999999999,0.5375,100.0,0.0,0.0
Best Ovulation Tracker Fertility Calendar App Glow,1,0.5953125,0.5416666666666666,100.0,0.0,0.0
"Best Wallpapers Backgrounds(100,000+ 4K HD)",10,0.30042929292929293,0.38994949494949493,60.0,0.0,40.0
Best Wallpapers QHD,35,0.4722514455782313,0.6184401360544217,85.7,11.4,2.9
"BestCam Selfie-selfie, beauty camera, photo editor",99,-0.03798581048581047,0.4216201699535033,28.3,32.3,39.4
BetterMe: Weight Loss Workouts,37,0.29227532274407275,0.49825571575571576,73.0,16.2,10.8
Betterment,40,0.14325219763259925,0.5105452301501409,62.5,20.0,17.5
BeyondMenu Food Delivery,38,0.4087426900584795,0.6176803118908382,92.1,5.3,2.6
BeyondPod Podcast Manager,40,0.1124582652900175,0.5457182367896654,80.0,17.5,2.5
Bible,97,0.36349543739121704,0.5336252466987003,83.5,7.2,9.3
Big Days - Events Countdown,36,0.28541372721928276,0.4996270576131687,66.7,13.9,19.4
"BigOven Recipes, Meal Planner, Grocery List & More",40,0.3282224025974026,0.49978214060245313,85.0,7.5,7.5
"BiggerCity: Chat for gay bears, chubs & chasers",40,0.21167546399141793,0.5781575964057872,67.5,25.0,7.5
Bike Computer - GPS Cycling Tracker,39,0.28197840354090353,0.47691442816442814,69.2,7.7,23.1
Binaural Beats Meditation,40,0.35351810515873017,0.5643201884920634,72.5,10.0,17.5
Binaural Beats Therapy,39,0.2832687528520862,0.4587343135259802,71.8,7.7,20.5
BioLife Plasma Services,39,0.15480616605616607,0.4577038503824218,61.5,23.1,15.4
Birdays – Birthday reminder,37,0.35544993857493856,0.5550068737568737,89.2,2.7,8.1
Birds Sounds Ringtones & Wallpapers,38,0.34155701754385964,0.4048684210526316,71.1,2.6,26.3
Black People Meet Singles Date,28,0.24934125871422946,0.5053452310676337,67.9,14.3,17.9
Block Puzzle,154,0.035221354404960235,0.5367871126316935,53.9,46.1,0.0
Block Puzzle Classic Legend !,72,0.15090698653198653,0.5360595538720538,63.9,30.6,5.6
Blogaway for Android (Blogger),36,0.19725448933782266,0.3590662578162578,52.8,11.1,36.1
Blogger,38,0.12512580694159642,0.5200550796321473,81.6,15.8,2.6
Bloglovin',39,0.13395250871813372,0.46937849187849184,48.7,17.9,33.3
Blood Donor,39,0.20522144852501994,0.36418214831905305,66.7,5.1,28.2
Blood Pressure,39,0.44494301994301994,0.5866809116809117,79.5,10.3,10.3
Blood Pressure Log - MyDiary,40,0.32505491150053645,0.5914018250499501,87.5,7.5,5.0
Blood Pressure(BP) Diary,40,0.08768325424575425,0.355830704018204,35.0,20.0,45.0
Bloomberg Professional,40,-0.023352723665223663,0.3632434613997114,37.5,27.5,35.0
Bloomberg: Market & Financial News,40,0.054705447330447333,0.3379659090909091,37.5,25.0,37.5
Blossom Blast Saga,36,0.005714461079044404,0.5138021835417669,47.2,52.8,0.0
BluTV,25,0.28028073593073594,0.4214222943722944,64.0,4.0,32.0
Blur Image Background,11,0.372717803030303,0.643939393939394,72.7,9.1,18.2
Blur Image Background Editor (Blur Photo Editor),39,0.23310994560994563,0.530530303030303,66.7,17.9,15.4
Booking.com Travel Deals,120,0.014176835317460314,0.4009321581196581,45.0,22.5,32.5
Bowmasters,312,0.06141544934739928,0.5005483488208554,54.2,38.1,7.7
Box,117,0.41000050875050875,0.43508648758648755,69.2,10.3,20.5
Boxed Wholesale,40,0.28700849999248434,0.4857461067867318,75.0,10.0,15.0
Boys Photo Editor - Six Pack & Men's Suit,38,0.28350877192982454,0.4792982456140351,60.5,13.2,26.3
Brain Waves - Binaural Beats,40,0.22173148899711398,0.5443468915343915,80.0,12.5,7.5
Branch,40,0.26422979797979795,0.44464553386428385,70.0,20.0,10.0
Brasileirão Pro 2018 - Série A e B,40,0.5508720238095238,0.5441656746031747,85.0,7.5,7.5
"Breaking News, Local news, Attacks and Alerts Free",27,0.21704599412932749,0.37713519333889706,51.9,18.5,29.6
Brightest Flashlight Free ®,5,0.4925714285714286,0.5224523809523809,100.0,0.0,0.0
Brightest LED Flashlight,16,0.3741989087301587,0.6228819444444444,81.2,6.2,12.5
Brilliant,28,0.2416548327664399,0.49085035301999586,75.0,17.9,7.1
Brit + Co,16,0.12312466179653678,0.5189175234487734,62.5,12.5,25.0
British Airways,22,0.20510616367759224,0.3991548134405278,59.1,22.7,18.2
Browser 4G,34,0.33708361185383245,0.4429032976827094,67.6,2.9,29.4
Bualuang mBanking,34,0.004322019211725096,0.34824705387205385,32.4,32.4,35.3
Bubble Shooter,145,0.2536763602776534,0.5156595926423513,69.0,27.6,3.4
Bubble Shooter 2,11,0.28484848484848485,0.5234848484848486,72.7,18.2,9.1
Bubble Shooter Genies,10,0.04798845598845597,0.529732683982684,60.0,30.0,10.0
Bubble Shooter Space,24,0.18493055555555551,0.4974305555555556,58.3,29.2,12.5
Bubble Witch 3 Saga,31,0.06538467779287191,0.5379182096492003,61.3,35.5,3.2
Buienradar - weer,35,0.08678947292786578,0.4887794863866292,57.1,28.6,14.3
Build a Bridge!,86,0.08835631019497298,0.5132795923161372,58.1,31.4,10.5
Bukalapak - Jual Beli Online,31,0.009039564506154375,0.4232744828136533,45.2,48.4,6.5
BukuBayi - Perkembangan Bayi,26,0.31515734265734263,0.4660052447552448,80.8,3.8,15.4
Burner - Free Phone Number,6,0.06530092592592592,0.6361111111111111,83.3,16.7,0.0
Buscapé - Ofertas e descontos,3,0.4708333333333334,0.485978835978836,66.7,0.0,33.3
Business Calendar 2,25,0.20114111302290014,0.46938575498575497,72.0,16.0,12.0
Butterfly Live Wallpaper,28,0.390275974025974,0.503655303030303,71.4,0.0,28.6
Buzz Launcher-Smart&Free Theme,36,0.20134484370347466,0.5776225692297121,69.4,27.8,2.8
"BuzzFeed: News, Tasty, Quizzes",71,0.1992963335568969,0.4749871450927789,66.2,11.3,22.5
"BÁO MỚI - Đọc Báo, Tin Tức 24h",34,0.10828208556149731,0.41728015448603684,52.9,26.5,20.6
C Programming,35,0.2768000669964955,0.541011544011544,91.4,8.6,0.0
C++ Programming,36,0.19645104943282027,0.5534449571775961,66.7,27.8,5.6
C++ Tutorials,36,0.5309259259259259,0.5667438271604939,88.9,0.0,11.1
CAIXA,34,-0.0890148438163144,0.4659153676622164,32.4,44.1,23.5
CALCU™ Stylish Calculator Free,38,0.3525981620718463,0.45346700083542185,71.1,2.6,26.3
CATS: Crash Arena Turbo Stars,57,0.028953154691858055,0.500371594394243,61.4,36.8,1.8
CBS News,1,0.0,0.0,0.0,0.0,100.0
"CBS Sports App - Scores, News, Stats & Watch Live",192,0.16390708611411733,0.5124724732732545,64.1,21.9,14.1
CBS Sports Fantasy,54,0.24850236370438392,0.488624757677788,63.0,16.7,20.4
CDL Practice Test 2018 Edition,24,0.24112599206349206,0.477825176366843,87.5,4.2,8.3
CIA - Caller ID & Call Blocker,14,0.21781462585034012,0.42982993197278907,57.1,14.3,28.6
"CM Browser - Ad Blocker , Fast Download , Privacy",2,0.012500000000000011,0.6875,50.0,50.0,0.0
"CM Flashlight (Compass, SOS)",4,0.55625,0.5946428571428571,100.0,0.0,0.0
"CM Launcher 3D - Theme, Wallpapers, Efficient",18,0.2824789562289562,0.5911111111111111,66.7,11.1,22.2
CM Locker - Security Lockscreen,86,0.24005452304247984,0.480303944163994,65.1,17.4,17.4
CMB Free Dating App,71,0.2917571204040017,0.5421654119038425,77.5,8.5,14.1
CNBC: Breaking Business News & Live Market Data,37,0.24770376373317549,0.47396788404141343,67.6,21.6,10.8
CNN Breaking US & World News,112,0.057347888966192535,0.5081744708841328,58.0,36.6,5.4
COOKING MAMA Let's Cook!,36,0.21892208651137224,0.5058891112561748,72.2,16.7,11.1
CVS Caremark,39,0.1919080225330225,0.42912333393102625,59.0,15.4,25.6
